# USGS 01104500 CHARLES RIVER AT WALTHAM, MA
# daily-statistics summary, period of record 1931-2026
# discharge in m3/s, converted from ft3/s
month,mean,p10,median,p90,min,max
1,10.9531,3.7716,8.9043,20.3981,1.32815,46.52
2,11.6704,4.3696,9.9880,21.3870,1.97847,37.44
3,17.4897,7.5094,15.2655,30.5155,4.63025,58.43
4,17.1581,7.3208,15.0419,29.8355,4.27791,52.54
5,10.3073,4.4604,9.5665,16.8074,2.08768,31.16
6,7.1330,2.3361,5.0517,13.4816,0.70603,50.95
7,4.0703,1.0340,2.5905,8.7599,0.22235,37.50
8,3.4839,0.4987,1.9182,8.2502,0.06869,39.46
9,3.4679,0.5663,1.9491,8.2147,0.13388,26.76
10,4.8330,0.8148,2.8390,11.4446,0.13647,33.20
11,7.4492,1.7943,5.7644,15.5412,0.27109,33.07
12,10.3603,3.0582,8.4174,21.1234,0.85097,34.74
