lon,lat,depth_m
-71.076083,42.359356,10.058
-71.076007,42.359572,10.058
-71.075840,42.359721,10.058
-71.075743,42.359902,10.058
-71.075609,42.359985,10.058
-71.075532,42.359807,10.058
-71.075646,42.359529,10.058
-71.075912,42.359311,10.058
-71.076071,42.359322,10.058
-71.082927,42.356269,10.058
-71.082869,42.356339,10.058
-71.082834,42.356143,10.058
-71.082918,42.356087,10.058
-71.083284,42.356341,10.058
-71.083137,42.356355,10.058
-71.083072,42.356251,10.058
-71.083149,42.356184,10.058
-71.083278,42.356233,10.058
-71.083284,42.356341,10.058
-71.083891,42.356305,10.058
-71.083819,42.356413,10.058
-71.083522,42.356359,10.058
-71.083634,42.356308,10.058
-71.083912,42.356107,10.058
-71.083998,42.356096,10.058
-71.086560,42.354459,10.058
-71.086428,42.354675,10.058
-71.085879,42.354855,10.058
-71.085642,42.354963,10.058
-71.085419,42.355108,10.058
-71.085348,42.355071,10.058
-71.085298,42.354942,10.058
-71.085174,42.354837,10.058
-71.085698,42.354418,10.058
-71.086366,42.354418,10.058
-71.086560,42.354459,10.058
-71.073497,42.364746,9.144
-71.073351,42.364845,9.144
-71.073300,42.364893,9.144
-71.073309,42.365091,9.144
-71.073188,42.365316,9.144
-71.073165,42.365496,9.144
-71.072828,42.365829,9.144
-71.072747,42.366027,9.144
-71.072598,42.366225,9.144
-71.072392,42.366246,9.144
-71.072125,42.366099,9.144
-71.072292,42.365901,9.144
-71.072587,42.365749,9.144
-71.072767,42.365514,9.144
-71.072975,42.365414,9.144
-71.072968,42.365262,9.144
-71.072955,42.364875,9.144
-71.073134,42.364569,9.144
-71.073315,42.364436,9.144
-71.073473,42.364475,9.144
-71.073570,42.364538,9.144
-71.075152,42.363273,9.144
-71.075027,42.363362,9.144
-71.075015,42.363263,9.144
-71.074954,42.363142,9.144
-71.074786,42.363191,9.144
-71.074490,42.363182,9.144
-71.074699,42.363118,9.144
-71.074930,42.363038,9.144
-71.075160,42.363092,9.144
-71.076231,42.359257,9.144
-71.076072,42.359627,9.144
-71.075850,42.359807,9.144
-71.075754,42.360032,9.144
-71.075452,42.360187,9.144
-71.075434,42.359969,9.144
-71.075450,42.359636,9.144
-71.075720,42.359392,9.144
-71.076022,42.359200,9.144
-71.076231,42.359257,9.144
-71.077358,42.357208,9.144
-71.077224,42.357191,9.144
-71.077054,42.357263,9.144
-71.076895,42.357259,9.144
-71.077212,42.357111,9.144
-71.077382,42.357058,9.144
-71.077554,42.357718,9.144
-71.077309,42.357955,9.144
-71.077115,42.358091,9.144
-71.076860,42.358219,9.144
-71.076629,42.358233,9.144
-71.076482,42.358258,9.144
-71.076375,42.358564,9.144
-71.076496,42.358738,9.144
-71.076305,42.358834,9.144
-71.076363,42.359005,9.144
-71.076277,42.359066,9.144
-71.076156,42.358980,9.144
-71.076093,42.358672,9.144
-71.076144,42.358438,9.144
-71.076101,42.358303,9.144
-71.076272,42.358042,9.144
-71.076362,42.357791,9.144
-71.076605,42.357805,9.144
-71.076857,42.357691,9.144
-71.077127,42.357519,9.144
-71.077509,42.357556,9.144
-71.077554,42.357718,9.144
-71.082540,42.356143,9.144
-71.082557,42.356143,9.144
-71.082560,42.356125,9.144
-71.084873,42.355773,9.144
-71.084618,42.355880,9.144
-71.084278,42.355853,9.144
-71.084071,42.355861,9.144
-71.084107,42.356197,9.144
-71.083985,42.356332,9.144
-71.083683,42.356501,9.144
-71.083343,42.356459,9.144
-71.082857,42.356429,9.144
-71.082737,42.356341,9.144
-71.082656,42.356098,9.144
-71.082785,42.355971,9.144
-71.083088,42.355982,9.144
-71.083558,42.355899,9.144
-71.083626,42.355620,9.144
-71.083816,42.355495,9.144
-71.083998,42.355520,9.144
-71.084266,42.355586,9.144
-71.084642,42.355462,9.144
-71.084870,42.355629,9.144
-71.088273,42.354027,9.144
-71.087908,42.354212,9.144
-71.087471,42.354379,9.144
-71.086936,42.354578,9.144
-71.086220,42.354818,9.144
-71.085771,42.354945,9.144
-71.085552,42.355132,9.144
-71.085322,42.355176,9.144
-71.085252,42.355053,9.144
-71.085076,42.354882,9.144
-71.085358,42.354637,9.144
-71.085637,42.354290,9.144
-71.085844,42.354237,9.144
-71.086135,42.354260,9.144
-71.086475,42.354357,9.144
-71.086876,42.354233,9.144
-71.087034,42.354110,9.144
-71.087483,42.354055,9.144
-71.088029,42.353964,9.144
-71.088248,42.353967,9.144
-71.089355,42.353793,9.144
-71.089243,42.353884,9.144
-71.089126,42.353874,9.144
-71.089064,42.353775,9.144
-71.089267,42.353656,9.144
-71.089361,42.353757,9.144
-71.067961,42.368073,8.230
-71.067961,42.368050,8.230
-71.068643,42.367765,8.230
-71.068507,42.367862,8.230
-71.068483,42.367780,8.230
-71.068629,42.367695,8.230
-71.075241,42.363345,8.230
-71.074990,42.363467,8.230
-71.074614,42.363295,8.230
-71.074238,42.363211,8.230
-71.074169,42.363309,8.230
-71.074128,42.363605,8.230
-71.073913,42.363948,8.230
-71.073723,42.364281,8.230
-71.073672,42.364515,8.230
-71.073462,42.364911,8.230
