year,gender,event,winner,time,seconds,course_record
2024,men,90+ Singles 90+ years old,Christopher Collins,35:27.307,2127.307,False
2009,men,Alumni Eights,Northeastern University Rowing Alumni,15:13.543,913.543,False
2010,men,Alumni Eights,Northeastern University Rowing Alumni,15:32.673,932.673,False
2011,men,Alumni Eights,Northeastern University Rowing Alumni,15:27.931,927.931,False
2012,men,Alumni Eights,Northeastern Rowing Alumni,14:49.25,889.25,True
2013,men,Alumni Eights,Friends of Georgetown Rowing,14:49.645,889.645,False
2014,men,Alumni Eights,Northeastern University Rowing Alumni,14:53.351,893.351,False
2015,men,Alumni Eights,Northeastern University Rowing Alumni,15:45.285,945.285,False
2016,men,Alumni Eights,Michigan Rowing Association Alumni,14:48.253,888.253,True
2017,men,Alumni Eights,BMA Boat Club,14:42.019,882.019,True
2018,men,Alumni Eights,BMA Boat Club,15:11.801,911.801,False
2019,men,Alumni Eights,Michigan Rowing Association Alumni,14:47.413,887.413,False
2021,men,Alumni Eights,University of Washington Alumni,14:35.782,875.782,True
2022,men,Alumni Eights,UW Alumni,14:30.823,870.823,True
2023,men,Alumni Eights,Ex Nemo,14:14.912,854.912,True
2024,men,Alumni Eights,UW Alumni,14:07.670,847.67,True
2025,men,Alumni Eights,Brown Alumni,14:21.595,861.595,False
2021,men,Alumni Fours,BMA Boat Club,17:04.465,1024.465,True
2022,men,Alumni Fours,Delaware Men's Alumni,16:08.787,968.787,True
2023,men,Alumni Fours,BMA,16:15.553,975.553,False
2024,men,Alumni Fours,Crabtree,16:37.650,997.65,False
2025,men,Alumni Fours,Brock RC,16:32.985,992.985,False
1968,men,Championship Doubles,Spuyten Buyvill RC,22:44.7,1364.7,True
1970,men,Championship Doubles,Cambridge BC,17:34.0,1054.0,True
1971,men,Championship Doubles,New York A.C.,17:07.0,1027.0,True
1972,men,Championship Doubles,New York A.C.,17:04.3,1024.3,True
1973,men,Championship Doubles,New York A.C.,17:35.0,1055.0,False
1974,men,Championship Doubles,New York A.C.,17:38.9,1058.9,False
1975,men,Championship Doubles,New York A.C.,17:46.8,1066.8,False
1976,men,Championship Doubles,Riverside BC,17:14.2,1034.2,False
1977,men,Championship Doubles,Harvard Univ.,17:41.0,1061.0,False
1978,men,Championship Doubles,New York A.C.,17:17.1,1037.1,False
1979,men,Championship Doubles,Harvard Univ.,17:01.5,1021.5,True
1980,men,Championship Doubles,Victoria City RC,17:35.1,1055.1,False
1981,men,Championship Doubles,New York A.C.,16:59.2,1019.2,True
1982,men,Championship Doubles,New York A.C.,16:28.1,988.1,False
1983,men,Championship Doubles,Harvard Univ.,16:25.4,985.4,False
1984,men,Championship Doubles,Harvard Univ.,16:24.5,984.5,True
1985,men,Championship Doubles,Ridley Grad. BC,17:22.1,1042.1,False
1986,men,Championship Doubles,Yale Old Fel. Ra,16:39.4,999.4,False
1987,men,Championship Doubles,Ridley Grad BC,16:53.4,1013.4,False
1988,men,Championship Doubles,Yale Old Fel. Ra,17:27.2,1047.2,False
1989,men,Championship Doubles,Craftsbury Sc.,18:40.8,1120.8,False
1990,men,Championship Doubles,Fredericton,17:15.7,1035.7,False
1991,men,Championship Doubles,Durham BC,17:16.9,1036.9,False
1992,men,Championship Doubles,Boston RC,16:01.2,961.2,True
1993,men,Championship Doubles,Boston RC,16:54.4,1014.4,False
1994,men,Championship Doubles,Ridley Graduate BC,16:35.0,995.0,False
1995,men,Championship Doubles,Boston RC,16:54.4,1014.4,False
1997,men,Championship Doubles,New York A.C.,16:32.0,992.0,False
1998,men,Championship Doubles,New York A.C.,16:42.06,1002.06,False
1999,men,Championship Doubles,New York A.C.,17:21.11,1041.11,False
2000,men,Championship Doubles,Ridley Graduate BC,17:28.29,1048.29,False
2001,men,Championship Doubles,London Training Ctr.,16:54.279,1014.279,False
2002,men,Championship Doubles,"S. Smolders, B. Hendrickx",17:34.820,1054.82,False
2003,men,Championship Doubles,"J. Burns, B. Martin-Doyle",16:38.387,998.387,False
2005,men,Championship Doubles,"A. Kroeker, N. Swick",16:42.342,1002.342,False
2006,men,Championship Doubles,"S. Stitt, S. DuRoss",17:54.727,1074.727,False
2007,men,Championship Doubles,"S. Stitt, S. DuRoss",16:32.264,992.264,False
2008,men,Championship Doubles,"A. Liverman, P. Graves",16:05.500,965.5,False
2009,men,Championship Doubles,"P. Graves, T. Graves",16:10.931,970.931,False
2010,men,Championship Doubles,"P. Graves, T. Graves",17:06.053,1026.053,False
2011,men,Championship Doubles,"P. Graves, T. Graves",16:26.856,986.856,False
2012,men,Championship Doubles,"I. Cop, O. Tuft",16:12,972.0,False
2013,men,Championship Doubles,"S. Stitt, M. Miller",15:51.988,951.988,True
2014,men,Championship Doubles,"V. Sinkovic, M. Sinkovic",15:40.566,940.566,True
2015,men,Championship Doubles,"S. Stitt, W. Cowles",17:01.955,1021.955,False
