year,place,club,bow,band,time,seconds
2019,1,Narragansett,2,60-69,20:40.474,1240.474
2019,2,Narragansett,15,60-69,21:09.120,1269.12
2019,3,Early Lights,1,60-69,21:26.166,1286.166
2019,4,Whitemarsh Boat Club,11,60-69,21:30.833,1290.833
2019,5,Chinook,6,60-69,21:42.886,1302.886
2019,6,Watercat,3,60-69,21:45.705,1305.705
2019,7,Minneapolis Rowing Club,5,60-69,21:50.110,1310.11
2019,8,Marin,9,60-69,22:09.123,1329.123
2019,9,Northampton,10,60-69,22:21.072,1341.072
2019,10,Avalon,8,60-69,22:25.346,1345.346
2019,11,Chinook,7,70+,24:08.312,1448.312
2019,12,Saugatuck,4,70+,24:26.461,1466.461
2019,13,Avalon,14,70+,24:28.866,1468.866
2019,14,Essex Rowing Association,12,60-69,24:35.669,1475.669
2019,15,Carnegie Lake,13,60-69,25:15.782,1515.782
2021,1,Narragansett,1,60-69,20:26.517,1226.517
2021,2,Watercat,6,60-69,20:28.865,1228.865
2021,3,Chinook,5,60-69,20:35.456,1235.456
2021,4,Community Rowing,14,60-69,20:45.008,1245.008
2021,5,North Suburban Crew,2,60-69,20:46.441,1246.441
2021,6,Narragansett,3,60-69,20:48.416,1248.416
2021,7,Minneapolis Rowing Club,7,60-69,20:50.583,1250.583
2021,8,Saugatuck,9,60-69,21:18.061,1278.061
2021,9,Marin,12,60-69,21:20.691,1280.691
2021,10,Whitemarsh Boat Club,4,60-69,21:38.893,1298.893
2021,11,Norwalk River,10,60-69,21:50.074,1310.074
2021,12,Saratoga,13,60-69,21:57.701,1317.701
2021,13,Quinsigamond RC,16,60-69,22:07.485,1327.485
2021,14,Three Rivers,11,60-69,22:30.435,1350.435
2021,15,Newport,18,60-69,22:45.157,1365.157
2021,16,CHARGERS,15,60-69,23:48.760,1428.76
2021,17,Rock Creek,17,60-69,24:27.273,1467.273
2021,18,Chinook,8,70+,24:27.286,1467.286
2022,1,Saugatuck,8,60-69,20:32.338,1232.338
2022,2,Marin,13,60-69,20:33.197,1233.197
2022,3,Chinook,3,60-69,20:34.584,1234.584
2022,4,Narragansett,1,60-69,20:39.357,1239.357
2022,5,Narragansett,6,60-69,20:41.176,1241.176
2022,6,Community Rowing,4,60-69,20:55.487,1255.487
2022,7,Conibear,20,60-69,21:00.771,1260.771
2022,8,Minneapolis Rowing Club,7,60-69,21:01.616,1261.616
2022,9,North Suburban Crew,5,60-69,21:05.365,1265.365
2022,10,Saratoga,9,60-69,21:16.620,1276.62
2022,11,Quinsigamond RC,18,60-69,21:32.289,1292.289
2022,12,Watercat,2,70+,21:39.369,1299.369
2022,13,Hudson River,11,60-69,22:05.742,1325.742
2022,14,Martha's Moms,14,60-69,22:14.496,1334.496
2022,15,Genesee,19,60-69,22:15.835,1335.835
2022,16,Atlanta,15,60-69,22:16.889,1336.889
2022,17,Avalon,16,60-69,22:38.256,1358.256
2022,18,Chinook,10,70+,23:08.935,1388.935
2022,19,Burnt Hills RA,17,60-69,23:15.844,1395.844
2022,20,Endeavor Racing Alliance,12,70+,25:15.307,1515.307
2023,1,East Arm,4,,20:07.511,1207.511
2023,2,Chinook,2,60-69,20:18.955,1218.955
2023,3,Quinsigamond RC,9,,20:23.251,1223.251
2023,4,Saugatuck,1,60-69,20:26.236,1226.236
2023,5,Narragansett,3,60-69,20:35.254,1235.254
2023,6,North Suburban Crew,8,60-69,20:49.926,1249.926
2023,7,Maritime Rowing Club,10,60-69,20:57.601,1257.601
2023,8,Narragansett,5,60-69,20:58.492,1258.492
2023,9,Community Rowing,6,60-69,21:08.060,1268.06
2023,10,Whitemarsh Boat Club,15,,21:22.143,1282.143
2023,11,Minneapolis Rowing Club,7,60-69,21:24.232,1284.232
2023,12,Lake Washington,18,70+,21:39.970,1299.97
2023,13,Hudson River,11,60-69,22:10.199,1330.199
2023,14,Lincoln Park Boat Club,20,60-69,22:17.997,1337.997
2023,15,CHARGERS,14,60-69,22:25.033,1345.033
2023,16,Conibear,19,70+,22:43.037,1363.037
2023,17,Avalon,17,60-69,22:45.433,1365.433
2023,18,Chinook,13,70+,22:57.030,1377.03
2023,19,Survivor Rowing Network,16,60-69,24:08.144,1448.144
2023,20,Avalon,12,70+,24:15.863,1455.863
2024,1,East Arm,1,60-69,20:03.913,1203.913
2024,2,Chinook,2,60-69,20:12.931,1212.931
2024,3,Saugatuck,4,60-69,20:31.837,1231.837
2024,4,North Suburban Crew,6,60-69,20:45.582,1245.582
2024,5,Narragansett,5,60-69,20:51.066,1251.066
2024,6,Endeavor Racing Alliance,14,60-69,20:51.768,1251.768
2024,7,Quinsigamond RC,3,60-69,21:06.557,1266.557
2024,8,Lake Merritt,13,60-69,21:38.909,1298.909
2024,9,Whitemarsh Boat Club,8,60-69,21:42.931,1302.931
2024,10,Lake Washington,9,70+,21:51.017,1311.017
2024,11,Narragansett,7,60-69,22:01.202,1321.202
2024,12,Sammamish Rowing Association,17,60-69,22:07.928,1327.928
2024,13,Green Lake,20,60-69,22:13.783,1333.783
2024,14,Conibear,10,70+,22:15.147,1335.147
2024,15,Northern Virginia,15,60-69,22:43.246,1363.246
2024,16,Chinook,12,70+,23:18.808,1398.808
2024,17,Ottawa,18,60-69,23:31.917,1411.917
2024,18,Intrepid Rowing Club,19,60-69,23:55.941,1435.941
2024,19,Upper Valley Rowing,16,60-69,24:06.464,1446.464
2024,20,Avalon,11,70+,25:32.958,1532.958
2025,1,Quinsigamond RC,7,60-69,20:10.921,1210.921
2025,2,Melbourne Uni,16,60-69,20:31.441,1231.441
2025,3,Orlando RC,22,60-69,20:31.685,1231.685
2025,4,Saugatuck,3,60-69,20:31.727,1231.727
2025,5,East Arm,1,60-69,20:36.126,1236.126
2025,6,ARC Wurzburg,14,60-69,20:36.773,1236.773
2025,7,Endeavor Racing Alliance,6,60-69,20:58.648,1258.648
2025,8,Vesper,13,60-69,21:05.235,1265.235
2025,9,Chinook,2,60-69,21:15.062,1275.062
2025,10,Narragansett,5,70+,21:15.953,1275.953
2025,11,North Suburban Crew,4,60-69,21:20.572,1280.572
2025,12,Lake Merritt,8,60-69,21:28.405,1288.405
2025,13,Martha's Moms,17,60-69,21:46.427,1306.427
2025,14,Northampton,20,60-69,21:47.809,1307.809
2025,15,Lake Union,25,60-69,22:12.619,1332.619
2025,16,Three Rivers,19,70+,22:14.468,1334.468
2025,17,Conibear,24,60-69,22:19.646,1339.646
2025,18,Avalon,11,60-69,22:22.593,1342.593
2025,19,Montlake Rowing,21,60-69,22:30.534,1350.534
2025,20,Conibear,9,70+,22:58.107,1378.107
2025,21,Intrepid Rowing Club,10,60-69,23:05.280,1385.28
2025,22,Rosaremo asd,15,60-69,23:13.404,1393.404
2025,23,Riverfront Recapture,18,60-69,23:40.954,1420.954
2025,24,CHARGERS,12,60-69,23:47.555,1427.555
2025,25,Long Beach,23,60-69,24:22.078,1462.078
