year,name,uid,pdf
2014,Foot of the Charles,1942422,data/raw/row2k\2014_foot_of_the_charles.pdf
2014,Head of the Harbor,4751836,
2014,Star Head of the River,6310430,data/raw/row2k\2014_star_head_of_the_river.pdf
2014,Foot of the Charles,3955115,data/raw/row2k\2014_foot_of_the_charles.pdf
2014,San Diego Fall Classic,9824203,data/raw/row2k\2014_san_diego_fall_classic.pdf
2014,Snowflake Regatta,2067814,data/raw/row2k\2014_snowflake_regatta.pdf
2014,Head of the Snake: Washington State University vs. Gonzaga & Western Washington,6138792,
2014,Rutgers Fall Classic Regatta,9195819,
2014,Merrimack Chase Regatta,4347824,data/raw/row2k\2014_merrimack_chase_regatta.pdf
2014,Fall Classic,5923229,
2014,Wichita Frostbite Regatta,9721678,data/raw/row2k\2014_wichita_frostbite_regatta.pdf
2014,Head of the Fish (Sunday AM),6756524,
2014,Head of the Fish (Sunday PM),7230123,
2014,Head of the Eagle,968821,data/raw/row2k\2014_head_of_the_eagle.pdf
2014,Head of the Fish (Saturday),343630,data/raw/row2k\2014_head_of_the_fish_saturday.pdf
2014,Head of the American,2506845,data/raw/row2k\2014_head_of_the_american.pdf
2014,Head of the Colorado (PumpkinHead),720657,
2014,Head of the Spokane,9611552,
2014,Tail of the Tiger,2119634,data/raw/row2k\2014_tail_of_the_tiger.pdf
2014,American Lake Fall Classic,6880772,data/raw/row2k\2014_american_lake_fall_classic.pdf
2014,Head of the Grand,590121,data/raw/row2k\2014_head_of_the_grand.pdf
2014,Head of the Rock,426397,data/raw/row2k\2014_head_of_the_rock.pdf
2014,Head of the Niagara Wright Regatta,7617254,data/raw/row2k\2014_head_of_the_niagara_wright_regatta.pdf
2014,Head of the Port,1652079,data/raw/row2k\2014_head_of_the_port.pdf
2014,Columbus Fall Classic,5679363,data/raw/row2k\2014_columbus_fall_classic.pdf
2014,Head of the Indian Creek,419145,data/raw/row2k\2014_head_of_the_indian_creek.pdf
2014,Head of the Hillsborough,6962752,data/raw/row2k\2014_head_of_the_hillsborough.pdf
2014,Head of the Passaic,1725173,data/raw/row2k\2014_head_of_the_passaic.pdf
2014,Bucknell Fall Classic,132041,
2014,Textile River Regatta,8632233,data/raw/row2k\2014_textile_river_regatta.pdf
2014,Head of the Mississippi,4209290,data/raw/row2k\2014_head_of_the_mississippi.pdf
2014,Tail of the Fox Regatta,1602978,data/raw/row2k\2014_tail_of_the_fox_regatta.pdf
2014,Head of the Mohawk,8542440,data/raw/row2k\2014_head_of_the_mohawk.pdf
2014,Head of the Genesee (Saturday),1838077,data/raw/row2k\2014_head_of_the_genesee_saturday.pdf
2014,Head of the Potomac,7167912,
2014,Head of the Brazos,9208329,data/raw/row2k\2014_head_of_the_brazos.pdf
2014,Head of the Anacostia,5498973,
2014,Head of the Merrimack,5239401,data/raw/row2k\2014_head_of_the_merrimack.pdf
2014,Tail of the Fish,9698175,data/raw/row2k\2014_tail_of_the_fish.pdf
2014,Head of the North Saskatchewan,6674059,data/raw/row2k\2014_head_of_the_north_saskatchewan.pdf
2014,Head of the Pend Oreille,1899019,
2014,Head of the Cuyahoga,1100799,data/raw/row2k\2014_head_of_the_cuyahoga.pdf
2014,Head of the Hudson,8534191,data/raw/row2k\2014_head_of_the_hudson.pdf
2014,Head of The Tomahawk,7746553,
2014,Head of the Reach,470365,data/raw/row2k\2014_head_of_the_reach.pdf
2014,Head of the River,8309450,data/raw/row2k\2014_head_of_the_river.pdf
2014,Schuylkill Skiff,9632945,data/raw/row2k\2014_schuylkill_skiff.pdf
2014,Head of the Kevin,4865516,data/raw/row2k\2014_head_of_the_kevin.pdf
2014,Muskoka Fall Classic,5290909,data/raw/row2k\2014_muskoka_fall_classic.pdf
2014,Tail of the Bear,3576158,data/raw/row2k\2014_tail_of_the_bear.pdf
2014,Occoquan Master Sprints,3570481,data/raw/row2k\2014_occoquan_master_sprints.pdf
2014,"Boys fours: Canterbury School vs. Berkshire, Chase, Derryfield, Hopkins, Mariana",5704922,
2014,"Chase Collegiate School vs. Hopkins, Forman and Westover",3012992,
2014,Boys: Lyme Old Lyme vs. Chase School,3486225,
2014,Girls: Lyme Old Lyme vs. Chase School; Valley Regional,79031,
2014,"Glastonbury High School (Boys) vs. Hanover HS, East Lyme HS, Riverfront Recaptur",9780186,
2014,"Glastonbury High School (Girls) vs. Hanover HS, East Lyme HS, Riverfront Recaptu",7960436,
2014,Boys Fours: The Gunnery vs. Canterbury and Chase,9835133,
2014,Girls Fours: The Gunnery vs. Canterbury and Chase,4210168,
2014,"Boys' Fours: Berkshire School vs. Chase Collegiate, Choate, Taft",6790687,
2014,"Girls' Fours: Berkshire School vs. Choate, Taft, Chase Collegiate",224593,
2014,"BOYS : Bethesda-Chevy Chase High School (B-CC) vs. St. Albans School (STA), Atla",2438638,
2014,GIRLS: Bethesda-Chevy Chase High School vs. National Cathedral School and Atlant,5854355,
2014,"FOURS: Bancroft School vs. Canterbury, CRLS, Hopkins, Chase Collegiate, Worceste",5646423,
2014,Bethesda - Chevy Chase HS vs. Gonzaga HS and Dematha HS Boys,8623066,
2014,Bethesda - Chevy Chase HS Girls vs. Georgetown Visitation,7136029,
2014,Northwestern State vs. U of Charleston & U of Texas,4419511,
2015,Newport Chase,8792642,data/raw/row2k\2015_newport_chase.pdf
2015,Head of the Giblet,6421769,data/raw/row2k\2015_head_of_the_giblet.pdf
2015,Tail of the Charles,1160794,data/raw/row2k\2015_tail_of_the_charles.pdf
2015,San Diego Fall Classic,2534200,data/raw/row2k\2015_san_diego_fall_classic.pdf
2015,Head of the Snake: Washington State University vs. Gonzaga,7426796,
2015,Women's Foot of the Charles,1558059,
2015,Head of the South,1793242,data/raw/row2k\2015_head_of_the_south.pdf
2015,Fall Classic,1579402,
2015,Head of the Lagoon - Masters & Juniors,5785771,data/raw/row2k\2015_head_of_the_lagoon_masters_juniors.pdf
2015,Snowflake Regatta,9779359,data/raw/row2k\2015_snowflake_regatta.pdf
2015,Hidden River Chase Regatta,8294378,
2015,Head of the Harbor,1942709,
2015,Rutgers Fall Classic,2151023,
2015,Head of the Lagoon - Collegiate & Masters,1544004,data/raw/row2k\2015_head_of_the_lagoon_collegiate_masters.pdf
2015,Merrimack Chase,9967938,data/raw/row2k\2015_merrimack_chase.pdf
2015,Philadelphia Frostbite Regatta,8821737,data/raw/row2k\2015_philadelphia_frostbite_regatta.pdf
2015,Princeton 3-Mile Chase,74759,data/raw/row2k\2015_princeton_3_mile_chase.pdf
2015,Head of the Occoquan (Sunday),5287786,data/raw/row2k\2015_head_of_the_occoquan_sunday.pdf
2015,Head of the Fish (Sunday AM),9625285,data/raw/row2k\2015_head_of_the_fish_sunday_am.pdf
2015,Head of the Fish (Sunday PM),4396102,data/raw/row2k\2015_head_of_the_fish_sunday_pm.pdf
2015,Wichita Frostbite Regatta,1730983,data/raw/row2k\2015_wichita_frostbite_regatta.pdf
2015,Portland Fall Classic,4078686,data/raw/row2k\2015_portland_fall_classic.pdf
2015,Head of The Fish (Saturday AM),3899530,data/raw/row2k\2015_head_of_the_fish_saturday_am.pdf
2015,Head of the Marina,5381932,data/raw/row2k\2015_head_of_the_marina.pdf
2015,Head of the Eagle,5450162,data/raw/row2k\2015_head_of_the_eagle.pdf
2015,Head of The Fish (Saturday PM),492871,data/raw/row2k\2015_head_of_the_fish_saturday_pm.pdf
2015,Head of the Occoquan (Saturday),806104,data/raw/row2k\2015_head_of_the_occoquan_saturday.pdf
2015,Head/Tail of the Gorge,2655380,data/raw/row2k\2015_head_tail_of_the_gorge.pdf
2015,Head of the Schuylkill,7111870,data/raw/row2k\2015_head_of_the_schuylkill.pdf
2015,Muskie Chase,2707630,data/raw/row2k\2015_muskie_chase.pdf
2015,Head of the American,8771715,
2015,Head of the Fox,2644801,
2015,Head of the American,6902701,data/raw/row2k\2015_head_of_the_american.pdf
2015,American Lake Fall Classic,6999197,data/raw/row2k\2015_american_lake_fall_classic.pdf
2015,Head Of The Charles,0E88DCF232F468E11E0BF11167DB452E,data/raw/row2k\2015_head_of_the_charles.pdf
2015,Head of the Rock,5071864,data/raw/row2k\2015_head_of_the_rock.pdf
2015,Head of the Port,6247445,data/raw/row2k\2015_head_of_the_port.pdf
2015,Occoquan Chase,512616,
2015,Head of the Quinobequin,9595938,
2015,Head of the Spokane: Gonzaga University vs. Washington State,1313510,
2015,Head of the Housatonic,6973381,data/raw/row2k\2015_head_of_the_housatonic.pdf
2015,Head of the Kevin 3,1314418,
2015,Head of the Estuary,4526733,
2015,Head of the Grand,3918195,data/raw/row2k\2015_head_of_the_grand.pdf
2015,Columbus Fall Classic,8170145,data/raw/row2k\2015_columbus_fall_classic.pdf
