id,squad,age,pounds,erg_5k,erg_5k_best,pieces
M01,men,47,175,19:24,19:19,3
M02,men,50,185,17:56,17:47,6
M03,men,43,205,19:52,19:47,2
W01,women,47,170,20:33,20:10,2
W02,women,46,155,21:07,20:40,7
M04,men,36,170,18:49,18:24,5
W03,women,36,170,20:28,19:53,6
M05,men,66,180,19:17,19:06,7
M06,men,59,185,19:32,19:27,2
W04,women,58,105,26:56,25:24,2
M07,men,56,225,18:31,18:07,9
W05,women,32,185,21:16,20:56,6
W06,women,66,125,21:48,21:31,6
W07,women,39,150,21:55,21:55,1
M08,men,57,205,18:23,18:23,1
W08,women,46,180,22:13,22:12,2
M09,men,62,245,22:48,22:48,1
M10,men,62,205,18:49,18:31,5
M11,men,48,165,18:12,18:08,9
M12,men,56,180,18:56,18:56,1
W09,women,60,150,23:02,22:55,2
M13,men,51,160,18:39,18:27,2
W10,women,43,120,22:26,22:24,2
M14,men,43,155,19:10,19:08,2
M15,men,32,205,19:05,18:51,2
M16,men,42,160,19:20,19:09,2
W11,women,40,170,20:30,20:25,2
W12,women,63,160,22:31,22:30,2
M17,men,48,170,18:29,18:20,7
M18,men,50,240,19:37,18:57,6
W13,women,32,,26:18,26:18,1
M19,men,59,145,23:07,22:48,2
M20,men,37,190,18:35,18:20,4
W14,women,66,135,21:53,20:56,6
M21,men,62,195,19:41,19:34,2
M22,men,49,150,18:50,18:48,2
W15,women,47,170,21:15,21:07,6
W16,women,49,145,22:43,22:43,1
W17,women,54,140,22:31,22:31,1
M23,men,40,175,19:31,19:00,6
M24,men,67,180,20:14,19:35,5
M25,men,40,135,21:43,20:35,3
W18,women,37,180,19:59,19:25,4
W19,women,44,,20:06,20:06,1
W20,women,51,140,22:56,22:56,1
W21,women,34,185,21:04,20:12,6
W22,women,50,195,20:45,20:45,3
M26,men,52,230,18:55,18:38,4
M27,men,48,170,20:40,20:40,1
M28,men,58,180,19:11,19:05,2
W23,women,61,150,23:26,23:26,1
W24,women,58,155,21:23,21:01,3
W25,women,52,165,19:52,19:46,2
W26,women,27,135,22:30,22:01,5
M29,men,61,215,18:27,17:53,7
W27,women,26,160,22:42,22:30,2
W28,women,56,165,21:54,21:31,4
W29,women,51,130,21:46,21:30,10
W30,women,46,220,19:48,19:33,6
W31,women,43,170,22:17,21:54,2
W32,women,44,130,21:04,20:20,7
M30,men,66,150,21:15,21:15,1
W33,women,46,125,23:36,23:36,1
W34,women,43,130,22:11,22:09,2
W35,women,57,150,21:58,21:45,2
W36,women,33,170,20:17,19:59,4
M31,men,44,170,21:30,21:30,1
M32,men,64,180,19:29,19:26,6
M33,men,65,175,19:09,18:58,7
M34,men,74,210,19:55,19:44,6
W37,women,34,110,21:16,20:25,9
W38,women,44,135,21:49,21:49,1
M35,men,48,225,17:22,16:58,6
W39,women,49,125,21:55,21:22,6
W40,women,43,140,22:36,22:31,2
W41,women,52,145,21:24,21:22,2
M36,men,58,220,19:15,18:19,6
M37,men,36,195,18:01,18:01,1
W42,women,47,145,24:15,24:04,2
W43,women,53,135,20:15,20:03,10
W44,women,47,140,21:22,21:16,4
M38,men,78,175,19:40,19:21,4
